Date : 2025-08-11 16:03:37
Directory : c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion
Total : 125 files,  24089 codes, 2631 comments, 3630 blanks, all 30350 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript     |         34 |      6,319 |      1,346 |        913 |      8,578 |
| TypeScript JSX |         36 |      5,594 |        448 |        596 |      6,638 |
| Markdown       |         22 |      5,160 |          0 |      1,733 |      6,893 |
| JSON           |          4 |      4,525 |          0 |          0 |      4,525 |
| JavaScript     |         23 |      1,469 |        773 |        312 |      2,554 |
| HTML           |          5 |        924 |         47 |         61 |      1,032 |
| PostCSS        |          1 |         98 |         17 |         15 |        130 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                  |        125 |     24,089 |      2,631 |      3,630 |     30,350 |
| . (Files)                                                                                                          |         53 |     11,764 |        824 |      2,120 |     14,708 |
| __mocks__                                                                                                          |          1 |          1 |          1 |          1 |          3 |
| src                                                                                                                |         71 |     12,324 |      1,806 |      1,509 |     15,639 |
| src\app                                                                                                            |         11 |        842 |         72 |        101 |      1,015 |
| src\app (Files)                                                                                                    |          1 |         98 |         17 |         15 |        130 |
| src\app\[locale]                                                                                                   |          4 |         31 |        -38 |          5 |         -2 |
| src\app\[locale] (Files)                                                                                           |          1 |          8 |          2 |          1 |         11 |
| src\app\[locale]\badges                                                                                            |          1 |         23 |          1 |          3 |         27 |
| src\app\[locale]\leaderboard                                                                                       |          1 |         23 |          0 |          3 |         26 |
| src\app\[locale]\login                                                                                             |          1 |        -23 |        -41 |         -2 |        -66 |
| src\app\api                                                                                                        |          5 |        536 |         92 |         66 |        694 |
| src\app\api\InitiateCompletion                                                                                     |          1 |          3 |          0 |          0 |          3 |
| src\app\api\ResetCompletionScanning                                                                                |          1 |         29 |         15 |          2 |         46 |
| src\app\api\debug                                                                                                  |          1 |         89 |         16 |         10 |        115 |
| src\app\api\debug\redis                                                                                            |          1 |         89 |         16 |         10 |        115 |
| src\app\api\leaderboard                                                                                            |          1 |        376 |         53 |         42 |        471 |
| src\app\api\test-badges                                                                                            |          1 |         39 |          8 |         12 |         59 |
| src\app\debug                                                                                                      |          1 |        177 |          1 |         15 |        193 |
| src\app\debug\redis                                                                                                |          1 |        177 |          1 |         15 |        193 |
| src\components                                                                                                     |         29 |      5,369 |        481 |        573 |      6,423 |
| src\components (Files)                                                                                             |         16 |      2,721 |        202 |        240 |      3,163 |
| src\components\__tests__                                                                                           |          3 |        556 |         59 |        105 |        720 |
| src\components\pages                                                                                               |          1 |        406 |         35 |         35 |        476 |
| src\components\ui                                                                                                  |          9 |      1,686 |        185 |        193 |      2,064 |
| src\components\ui (Files)                                                                                          |          7 |      1,359 |        178 |        121 |      1,658 |
| src\components\ui\__tests__                                                                                        |          2 |        327 |          7 |         72 |        406 |
| src\context                                                                                                        |          1 |         17 |          1 |          3 |         21 |
| src\hooks                                                                                                          |          4 |        488 |         93 |         97 |        678 |
| src\lib                                                                                                            |         23 |      5,019 |      1,111 |        698 |      6,828 |
| src\lib (Files)                                                                                                    |          8 |        273 |         53 |         38 |        364 |
| src\lib\api                                                                                                        |          1 |        630 |        115 |         98 |        843 |
| src\lib\config                                                                                                     |          1 |          0 |          0 |          1 |          1 |
| src\lib\database                                                                                                   |          1 |        395 |         99 |         46 |        540 |
| src\lib\design-system                                                                                              |          3 |        678 |         76 |         78 |        832 |
| src\lib\gamification                                                                                               |          3 |      1,355 |        128 |        134 |      1,617 |
